category,raw_reviews,analyze_reviews,Negative,Neutral,Positive,fear,anger,sadness,disgust,TopKeyword
Trek1500,frame is a little too stiff for total comfort and at the same time acceleration seems a little sluggish and flexy compared to my old steel frame bike  replaced seat straight away this has been a great bike for me for the money  superb ride for the budget restrictions in place  i think this was the last year for this bike then they started cheaping out on the components  i opted to upgrade to a triple crankset and glad i did so ,frame little stiff total comfort time acceleration seems little sluggish flexy compared old steel frame bike replaced seat straight away great bike money superb ride budget restrictions place think last year bike started cheaping components opted upgrade triple crankset glad,0.047,0.657,0.296,0.0,0.0526315789473684,0.0526315789473684,0.0,"['bike', 'frame', 'glad', 'stiff', 'total', 'comfort', 'time', 'acceleration', 'sluggish', 'flexy']"
Trek1500,a few of the original parts  such as the bontrager wheels  needed replacing  upgrading in the first few thousand miles  triple crank shifts a little bulky at times great value  this bike is versatile and well built  the alpha aluminun super light race frame sticks the corners exceptionally well  i bought the bike on a budget  i couldn t then  and cannot today  pony up   or   grand for a bike         miles  and half a dozen centuries later  from solvang  to the sea otter classic  this bike is road proven similar products used cannondale w  similar setup ,original parts bontrager wheels needed replacing upgrading first thousand miles triple crank shifts little bulky times great value bike versatile well built alpha aluminun super light race frame sticks corners exceptionally well bought bike budget today pony grand bike miles half dozen centuries later solvang sea otter classic bike road proven similar products used cannondale similar setup,0.0,0.718,0.282,0.0,0.0,0.0,0.0,"['bike', 'miles', 'similar', 'original', 'setup', 'parts', 'bontrager', 'wheels', 'needed', 'replacing']"
Trek1500,seat  but replaced it almost immediately with nice fi zi k  some minor gear slippage if pressured on tough hills great bike and has been fantastic first road bike purchase  i am triathlete but this is my trainig and racing bike  comfortable  light  performs well in every area similar products used n a,seat replaced almost immediately nice minor gear slippage pressured tough hills great bike fantastic first road bike purchase triathlete trainig racing bike comfortable light performs well every area similar products used,0.079,0.558,0.363,0.0,0.0,0.1666666666666666,0.0,"['bike', 'seat', 'replaced', 'immediately', 'nice', 'minor', 'gear', 'slippage', 'pressured', 'tough']"
Trek1500,seat must be replacedtires and rims are lacking compared to the rest of bikei ve got around      miles on her and no problems yet  also no matter what i throw at her for roads hilly or pancake  it tackles with no lag  a fast road bike on at a shoestring price  a    bikesimilar products used      trek          giant ocr ,seat must replacedtires rims lacking compared rest bikei got around miles problems yet also matter throw roads hilly pancake tackles lag fast road bike shoestring price bikesimilar products used trek giant ocr,0.145,0.824,0.031,0.25,0.0,0.0,0.0,"['seat', 'ocr', 'replacedtires', 'rims', 'lacking', 'compared', 'rest', 'bikei', 'miles', 'problems']"
Trek1500,seat an awesome bike  as others have said  i also replaced the seat when i first bought it  it makes you want to go fast wherever you go  you can hammer on the pedals with no noticeable frame flexing  when i purchased it  the only other bikes that could compare were over        without pedals   sadly i am poor and have to sell it ,seat awesome bike others said also replaced seat first bought makes want fast wherever hammer pedals noticeable frame flexing purchased bikes could compare without pedals sadly poor sell,0.0,0.7,0.3,0.0,0.0,0.5,0.0,"['sell', 'seat', 'pedals', 'awesome', 'replaced', 'bought', 'makes', 'fast', 'hammer', 'noticeable']"
Trek1500,as a mid or entry level bike this has no weaknesses a fantastic entry to mid level bike  as someone just getting into roadie races  this bike is more than adequate to start with  honestly  it can either function as a good training bike or even as a racing bike  solid group        frame  and accessories  to address the previous reviews  the seat just happens to be fine for me since i m a smaller rider who doesnt need a whole lot from his saddle  same goes for the wheels  they are plenty tough for me  they have made it through two minor crashes  one with a monster pothole and the other with a tree  and are still true  nice to have     components for such a low price as well similar products used tested specialized allez and cannondale synapse at lbs  a few rides on giant ocr  ,mid entry level bike weaknesses fantastic entry mid level bike someone getting roadie races bike adequate start honestly either function good training bike even racing bike solid group frame accessories address previous reviews seat happens fine since smaller rider doesnt need whole lot saddle goes wheels plenty tough made two minor crashes one monster pothole tree still true nice components low price well similar products used tested specialized allez cannondale synapse lbs rides giant ocr,0.067,0.688,0.246,0.074074074074074,0.037037037037037,0.037037037037037,0.037037037037037,"['bike', 'level', 'mid', 'entry', 'ocr', 'weaknesses', 'fantastic', 'roadie', 'races', 'adequate']"
Trek1500,i replaced the stock saddle and tires almost right away  although the stock saddle was beaten up by many other reviewers  i actually didn t think it was too terribly bad  i did however end up replacing it with the more comfortable brooks i m a    year old recreational rider who rides for fitness  i m     and have ridden at weights all the way up to     at my heaviest  i was initially worried about the wheels with their low spoke counts and their ability to remain true while supporting my weight  but the trek factory assured me the wheels could handle it  although i don t beat the bike  i do ride long  rolling country roads that have their share of pot holes and uneven pavement  after   years and about      road miles with alot more on the trainer  the wheels are still straight and true  i have had no cracking around spoke holes as some reviews have reported  i love this bike  the shimano     ultegra setup provides effortless  quiet  accurate shifting and the triple crank and       cassette makes hauling my well fed self up hills relatively easy  every morning i still look forward to riding this well designed rocket  for the money  this bike can t be beat similar products used      s vintage schwinn world sport,replaced stock saddle tires almost right away although stock saddle beaten many reviewers actually think terribly bad however end replacing comfortable brooks year old recreational rider rides fitness ridden weights way heaviest initially worried wheels low spoke counts ability remain true supporting weight trek factory assured wheels could handle although beat bike ride long rolling country roads share pot holes uneven pavement years road miles alot trainer wheels still straight true cracking around spoke holes reviews reported love bike shimano ultegra setup provides effortless quiet accurate shifting triple crank cassette makes hauling well fed self hills relatively easy every morning still look forward riding well designed rocket money bike beat similar products used vintage schwinn world sport,0.096,0.672,0.232,0.0344827586206896,0.0517241379310344,0.0862068965517241,0.0344827586206896,"['stock', 'saddle', 'wheels', 'bike', 'spoke', 'true', 'beat', 'holes', 'replaced', 'sport']"
Trek1500,i did find a more comfortable saddle and change to clips i m    years old  this is my first road bike after riding a cruiser bike for two years after i quit running  i couldn t be happier with the       in the    year i ve ridden it i ve turned       miles  increased my avg  speed from   mph to almost   mph  lost    lbs  and competed in   centuries  i ve had some people tell me it s a nice starter bike until i can buy a carbon but i m not so sure i agree  the      hasn t shown a limit to it s performance  i love it ,find comfortable saddle change clips years old first road bike riding cruiser bike two years quit running happier year ridden turned miles increased avg speed mph almost mph lost lbs competed centuries people tell nice starter bike buy carbon sure agree shown limit performance love,0.034,0.621,0.346,0.1428571428571428,0.0,0.1428571428571428,0.0,"['bike', 'mph', 'find', 'love', 'years', 'comfortable', 'saddle', 'change', 'clips', 'road']"
Trek1500,only the disposable items  saddle  pedals  tires  though the tires are suprisingly good for stock tires and particularly for bontrager  i looked at options for months  did bids on ebay  asked the experts and all  and my conclusion is that if you already have a mountain bike there s no use buying a cyclocross bike to go roadie on  you just don t need it  get a road bike  and i recommend this one very highly for anyone else who wants to add to their cycling repetoire  this bike can take on the kinds of rough road conditions we have in new york city  no problem  and serves up a nice balance between agile and stable so you can tackle tough  short rides or use it to tour or century on  the carbon fork and post are enough to dampen a rough ride to a degree that s comparable with a cro moly frame  the ultimate in comfort next to carbon  it makes me wonder why roadies are so squeemish about all but smooth  highway grade road  but maybe this bike is exceptionally stable  really rough stuff at high speed is something to be cautious of on this bike  but for the most part you shouldn t have a problem  i also have had no problems with the bike occilating at high speed despite being  a big guy  which a lot of bikes of this quality are prone to do with heavy riders  i m not a clydesdale  but i m not     lbs either note that george hincapie is     lbs  so no worries if you re topping     or and change unless you re really up there at     and not planning to drop    anytime soon   as far as riding this versus the mountain bike  the only real adjustments i ve had to make are  no camelbak  leaned too far over  and it s just  un roadie like    i loosened the stem and tilted the handlebar up so i could more comfortably ride with my hands on the hoods and effectively work the brakes  and of course i changed the saddle height and angle to preference  the difference in braking is the only significant adjustment  after the first long ride i could barely use my hands anymore because i was squeezing the brakes in a way that i don t have to on the mountain bike  even a couple of months later  i m still developing those braking muscles  but at least i can use the brakes now after several hours of riding  you might want to ease into road riding just for that reason alone  and of course it s a hell of a lot faster and easier to go than a mountain bike  the mountain bike simply doesn t move by comparison  at some point i actually felt the road bike was too easy  like i barely had to pedal  but then i just changed where and how i ride  if i were touring  this would be a breeze to ride in comparison to the tougher work on the mountain bike  and no less comfortable as far as i m concerned similar products used this is my first true road bike  i have a trek      mountain bike as well  it s nice having both ,disposable items saddle pedals tires though tires suprisingly good stock tires particularly bontrager looked options months bids ebay asked experts conclusion already mountain bike use buying cyclocross bike roadie need get road bike recommend one highly anyone else wants add cycling repetoire bike take kinds rough road conditions new york city problem serves nice balance agile stable tackle tough short rides use tour century carbon fork post enough dampen rough ride degree comparable cro moly frame ultimate comfort next carbon makes wonder roadies squeemish smooth highway grade road maybe bike exceptionally stable really rough stuff high speed something cautious bike part problem also problems bike occilating high speed despite big guy lot bikes quality prone heavy riders clydesdale lbs either note george hincapie lbs worries topping change unless really planning drop anytime soon far riding versus mountain bike real adjustments make camelbak leaned far roadie like loosened stem tilted handlebar could comfortably ride hands hoods effectively work brakes course changed saddle height angle preference difference braking significant adjustment first long ride could barely use hands anymore squeezing brakes way mountain bike even couple months later still developing braking muscles least use brakes several hours riding might want ease road riding reason alone course hell lot faster easier mountain bike mountain bike simply move comparison point actually felt road bike easy like barely pedal changed ride touring would breeze ride comparison tougher work mountain bike less comfortable far concerned similar products used first true road bike trek mountain bike well nice,0.078,0.754,0.169,0.0967741935483871,0.0483870967741935,0.0967741935483871,0.0161290322580645,"['bike', 'mountain', 'road', 'ride', 'tires', 'rough', 'riding', 'brakes', 'high', 'speed']"
Trek1500,none for me  tires but that s expected ok  i ve waited a long time to do my review  i bought the bike last august at a year end clearance to replace my    year old univega  i weighed     lbs  on a       frame and am    yrs  old  my son got me back into cycling and i needed to lose some weight and get in shape  started out doing   to   miles loops   to   days per week  am now doing     to     miles per week and do hills almost every day  i m down to     lbs  i ve put       miles on the bike  yesterday i rode my first organized ride  it was an    mile ride with two large climbs in the first    miles and temperatures in the    s  i passed many        to        carbon bikes along the way  especially on the hills  my buddy is right  it s the engine not the bike  this bike has done everything i hoped and more  came with     shifters and fr  ultegra crank and rd  have had a couple of minor adjustments and one tuneup  i ve learned to do most of the routine things myself   i did add keo pedals and am on my second set of ultra gatorskins  i ve kept the original seat and have never had a sore butt  maybe i m lucky but why fix something that s not broken   this has been the best      i ve ever spentsimilar products used old univega steel    speed,none tires expected waited long time review bought bike last august year end clearance replace year old univega weighed lbs frame yrs old son got back cycling needed lose weight get shape started miles loops days per week miles per week hills almost every day lbs put miles bike yesterday rode first organized ride mile ride two large climbs first miles temperatures passed many carbon bikes along way especially hills buddy right engine bike bike done everything hoped came shifters ultegra crank couple minor adjustments one tuneup learned routine things add keo pedals second set ultra gatorskins kept original seat never sore butt maybe lucky fix something broken best ever spentsimilar products used old univega steel speed,0.045,0.847,0.108,0.073170731707317,0.073170731707317,0.0975609756097561,0.048780487804878,"['bike', 'miles', 'univega', 'week', 'year', 'lbs', 'hills', 'ride', 'speed', 'tires']"
