review,category,Strength,text_string_lem,trust,surprise,positive,joy,anticipation,TopKeyword,Negative,Positive,Neutral
"


 [Nov 16, 2009]




				John on a bike

				Recreational Rider



OVERALLRATING

4


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Great value, has held up very well with 7,000 miles on it, needs little mechanical adjustments, corners well. Nice quiet 105 and Ultegra components.


Weakness:
Frame is a little too stiff for total comfort and at the same time acceleration seems a little sluggish and flexy compared to my old steel frame bike. Replaced seat straight away.


This has been a great bike for me for the money. Superb ride for the budget restrictions in place. I think this was the last year for this bike then they started cheaping out on the components. I opted to upgrade to a triple crankset and glad I did so.





",Trek1500,great value  has held up very well with       miles on it  needs little mechanical adjustments  corners well  nice quiet     and ultegra components ,great value held well miles needs little mechanical adjustments corners well nice quiet ultegra components,0.0,0.0,0.5,0.0,,"['great', 'components', 'held', 'miles', 'mechanical', 'adjustments', 'corners', 'nice', 'quiet', 'ultegra']",0.0,0.574,0.426
"


 [Aug 02, 2009]




				sdsuaztec89

				Recreational Rider



OVERALLRATING

4


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Stiff aluminum frame, available in 63 cm, is ideal for a tall (6'3"") rider. Bike was excellently fitted for the rider, by the Trek dealer, who special ordered the machine, to fit the rider.


Weakness:
A few of the original parts, such as the bontrager wheels, needed replacing/ upgrading in the first few thousand miles. Triple crank shifts a little bulky at times.


Great value. This bike is versatile and well built. The Alpha Aluminun super light race frame sticks the corners exceptionally well. I bought the bike on a budget. I couldn't then, and cannot today, pony up 3 or 4 grand for a bike. 10,000 miles, and half a dozen centuries later, from Solvang, to the Sea Otter Classic, This bike is road proven.


Similar Products Used:
Cannondale w/ similar setup.



",Trek1500,stiff aluminum frame  available in    cm  is ideal for a tall        rider  bike was excellently fitted for the rider  by the trek dealer  who special ordered the machine  to fit the rider ,stiff aluminum frame available ideal tall rider bike excellently fitted rider trek dealer special ordered machine fit rider,0.14285714285714285,0.0,0.5714285714285714,0.14285714285714285,,"['rider', 'stiff', 'aluminum', 'frame', 'ideal', 'tall', 'bike', 'excellently', 'fitted', 'trek']",0.0,0.476,0.524
"


 [May 22, 2009]




				Anonymous

				Triathlete



OVERALLRATING

5


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
A lot of bike for the money, very reliable, fast and true.


Weakness:
seat, but replaced it almost immediately with nice Fi'zi:k. Some minor gear slippage if pressured on tough hills.


Great bike and has been fantastic first road bike purchase. I am triathlete but this is my trainig and racing bike. comfortable, light, performs well in every area.


Similar Products Used:
N/A



",Trek1500,a lot of bike for the money  very reliable  fast and true ,lot bike money reliable fast true,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.09090909090909091,"['lot', 'true', 'bike', 'money', 'reliable', 'fast']",0.0,0.359,0.641
"


 [Feb 12, 2009]




				Anonymous

				Recreational Rider



OVERALLRATING

4


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
105 and Ultegra parts Carbon seat post and forkPiant makes it look like a fine sports car


Weakness:
Seat must be replacedTires and rims are lacking compared to the rest of bike


I've got around 4500 miles on her and no problems yet. Also no matter what I throw at her for roads hilly or pancake, it tackles with no lag. A fast road bike on at a shoestring price. A+++ bike


Similar Products Used:
2000 Trek 520 2004 Giant OCR2



",Trek1500,    and ultegra parts carbon seat post and forkpiant makes it look like a fine sports car,ultegra parts carbon seat post forkpiant makes look like fine sports car,0.0,0.0,0.0,0.0,,"['ultegra', 'car', 'parts', 'carbon', 'seat', 'post', 'forkpiant', 'makes', 'fine', 'sports']",0.0,0.301,0.699
"


 [Aug 26, 2008]




				Jon

				Recreational Rider



OVERALLRATING

4


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Stiff frame for out-of-saddle hammering. Light, and just enough performance to feel fast without being extravagant. Great bang for your buck.


Weakness:
Seat.


An awesome bike. As others have said, I also replaced the seat when I first bought it. It makes you want to go fast wherever you go. You can hammer on the pedals with no noticeable frame flexing. When I purchased it, the only other bikes that could compare were over $1200 (without pedals). Sadly I am poor and have to sell it!





",Trek1500,stiff frame for out of saddle hammering  light  and just enough performance to feel fast without being extravagant  great bang for your buck ,stiff frame saddle hammering light enough performance feel fast without extravagant great bang buck,0.0,0.18181818181818182,0.09090909090909091,0.0,,"['stiff', 'buck', 'frame', 'saddle', 'hammering', 'light', 'performance', 'feel', 'fast', 'extravagant']",0.202,0.0,0.798
"


 [Aug 11, 2008]




				Anonymous

				Road Racer



OVERALLRATING

5


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Shimano 105 Components, Frame (esp. carbon seatpost and fork), Price


Weakness:
As a mid or entry level bike this has no weaknesses.


A fantastic entry to mid level bike. As someone just getting into roadie races, this bike is more than adequate to start with. Honestly, it can either function as a good training bike or even as a racing bike. Solid group (105), frame, and accessories. To address the previous reviews, the seat just happens to be fine for me since I'm a smaller rider who doesnt need a whole lot from his saddle. Same goes for the wheels, they are plenty tough for me. They have made it through two minor crashes (one with a monster pothole and the other with a tree) and are still true. Nice to have 105 components for such a low price as well.


Similar Products Used:
Tested Specialized Allez and Cannondale Synapse at LBS. A few rides on Giant OCR1.



",Trek1500,shimano     components  frame  esp  carbon seatpost and fork   price,shimano components frame esp carbon seatpost fork price,0.0,0.0,0.0,0.0,,"['shimano', 'price', 'components', 'frame', 'esp', 'carbon', 'seatpost', 'fork']",0.0,0.0,1.0
"


 [Jul 28, 2008]




				Anonymous

				Recreational Rider



OVERALLRATING

5


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Shimano 105/Ultegra setup is great. I was extremely surprised with the strength of the stock wheel set.


Weakness:
I replaced the stock saddle and tires almost right away. Although the stock saddle was beaten up by many other reviewers, I actually didn't think it was too terribly bad. I did however end up replacing it with the more comfortable Brooks.


I'm a 52 year old recreational rider who rides for fitness. I'm 6'4 and have ridden at weights all the way up to 255 at my heaviest. I was initially worried about the wheels with their low spoke counts and their ability to remain true while supporting my weight, but the Trek factory assured me the wheels could handle it. Although I don't beat the bike, I do ride long, rolling country roads that have their share of pot holes and uneven pavement. After 2 years and about 2000 road miles with alot more on the trainer, the wheels are still straight and true. I have had no cracking around spoke holes as some reviews have reported. I love this bike. The Shimano 105/Ultegra setup provides effortless, quiet, accurate shifting and the triple crank and 12/25 cassette makes hauling my well-fed self up hills relatively easy. Every morning I still look forward to riding this well designed rocket. For the money, this bike can't be beat.


Similar Products Used:
1980's vintage Schwinn World Sport



",Trek1500,shimano     ultegra setup is great  i was extremely surprised with the strength of the stock wheel set ,shimano ultegra setup great extremely surprised strength stock wheel set,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,"['shimano', 'set', 'ultegra', 'setup', 'great', 'extremely', 'surprised', 'strength', 'stock', 'wheel']",0.0,0.583,0.417
"


 [Jul 02, 2008]




				soxfan

				Recreational Rider




OVERALLRATING

5


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Fast, responsive, and comfortable. I have found it to be very stable even at high speeds(40-50mph).


Weakness:
I did find a more comfortable saddle and change to clips.


I'm 46 years old. This is my first road bike after riding a cruiser bike for two years after I quit running. I couldn't be happier with the 1500. In the 1+ year I've ridden it I've turned 6,500 miles, increased my avg. speed from 14mph to almost 18mph, lost 20 lbs, and competed in 4 centuries. I've had some people tell me it's a nice starter bike until I can buy a carbon but I'm not so sure I agree. The 1500 hasn't shown a limit to it's performance. I love it.





",Trek1500,fast  responsive  and comfortable  i have found it to be very stable even at high speeds      mph  ,fast responsive comfortable found stable even high speeds mph,0.375,0.0,0.375,0.125,0.125,"['fast', 'mph', 'responsive', 'comfortable', 'found', 'stable', 'high', 'speeds']",0.0,0.571,0.429
"


 [Jun 20, 2008]




				Anonymous

				Recreational Rider




OVERALLRATING

5


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
105 Drivechain with an Ultegra crankset.


Weakness:
Only the disposable items: saddle, pedals, tires (though the tires are suprisingly good for stock tires and particularly for Bontrager).


I looked at options for months, did bids on eBay, asked the experts and all, and my conclusion is that if you already have a mountain bike there's no use buying a cyclocross bike to go roadie on. You just don't need it. Get a road bike, and I recommend this one very highly for anyone else who wants to add to their cycling repetoire. This bike can take on the kinds of rough road conditions we have in New York City, no problem, and serves up a nice balance between agile and stable so you can tackle tough, short rides or use it to tour or century on. The carbon fork and post are enough to dampen a rough ride to a degree that's comparable with a cro-moly frame--the ultimate in comfort next to carbon. It makes me wonder why roadies are so squeemish about all but smooth, highway grade road, but maybe this bike is exceptionally stable. Really rough stuff at high speed is something to be cautious of on this bike, but for the most part you shouldn't have a problem. I also have had no problems with the bike occilating at high speed despite being ""a big guy"" which a lot of bikes of this quality are prone to do with heavy riders. I'm not a clydesdale, but I'm not 160 lbs either(note that George Hincapie is 180 lbs, so no worries if you're topping 200 or and change unless you're really up there at 275 and not planning to drop 50 anytime soon). As far as riding this versus the mountain bike, the only real adjustments I've had to make are: no Camelbak (leaned too far over, and it's just ""un-roadie-like""); I loosened the stem and tilted the handlebar up so I could more comfortably ride with my hands on the hoods and effectively work the brakes; and of course I changed the saddle height and angle to preference. The difference in braking is the only significant adjustment. After the first long ride I could barely use my hands anymore because I was squeezing the brakes in a way that I don't have to on the mountain bike. Even a couple of months later, I'm still developing those braking muscles, but at least I can use the brakes now after several hours of riding. You might want to ease into road riding just for that reason alone. And of course it's a hell of a lot faster and easier to go than a mountain bike. The mountain bike simply doesn't move by comparison. At some point I actually felt the road bike was too easy, like I barely had to pedal, but then I just changed where and how I ride. If I were touring, this would be a breeze to ride in comparison to the tougher work on the mountain bike, and no less comfortable as far as I'm concerned.


Similar Products Used:
This is my first true road bike. I have a Trek 8000 mountain bike as well. It's nice having both.



",Trek1500,    drivechain with an ultegra crankset ,drivechain ultegra crankset,0.0,0.0,0.0,0.0,,"['drivechain', 'crankset', 'ultegra']",0.0,0.0,1.0
"


 [May 18, 2008]




[email protected]

				Recreational Rider



OVERALLRATING

5


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
PriceGood componentsOnly minor upgrades needed


Weakness:
None for me (tires but that's expected)


OK, I've waited a long time to do my review. I bought the bike last August at a year end clearance to replace my 20 year old Univega. I weighed 215 lbs. on a 5'11"" frame and am 53 yrs. old. My son got me back into cycling and I needed to lose some weight and get in shape. Started out doing 5 to 6 miles loops 3 to 4 days per week. Am now doing 125 to 200 miles per week and do hills almost every day. I'm down to 178 lbs. I've put 3,850 miles on the bike. Yesterday I rode my first organized ride. It was an 80 mile ride with two large climbs in the first 20 miles and temperatures in the 90's. I passed many $3,000 to $4,000 carbon bikes along the way, especially on the hills. My buddy is right, it's the engine not the bike. This bike has done everything I hoped and more. Came with 105 shifters and fr, Ultegra crank and rd. Have had a couple of minor adjustments and one tuneup (I've learned to do most of the routine things myself). I did add Keo pedals and am on my second set of Ultra Gatorskins. I've kept the original seat and have never had a sore butt (maybe I'm lucky but why fix something that's not broken). This has been the best $899 I've ever spent


Similar Products Used:
Old Univega steel 12 speed



",Trek1500,pricegood componentsonly minor upgrades needed,pricegood componentsonly minor upgrades needed,0.0,0.0,0.0,0.0,,"['pricegood', 'needed', 'componentsonly', 'minor', 'upgrades']",0.0,0.0,1.0
