review,category,Strength,Weakness,text_string_lem,is_equal,W_scores,W_compound,W_comp_score,W_neg,W_neu,W_pos,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation,TopKeyword,Neutral,Negative,Positive
"


 [Nov 16, 2009]




				John on a bike

				Recreational Rider



OVERALLRATING

4


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Great value, has held up very well with 7,000 miles on it, needs little mechanical adjustments, corners well. Nice quiet 105 and Ultegra components.


Weakness:
Frame is a little too stiff for total comfort and at the same time acceleration seems a little sluggish and flexy compared to my old steel frame bike. Replaced seat straight away.


This has been a great bike for me for the money. Superb ride for the budget restrictions in place. I think this was the last year for this bike then they started cheaping out on the components. I opted to upgrade to a triple crankset and glad I did so.





",Trek1500,great value  has held up very well with       miles on it  needs little mechanical adjustments  corners well  nice quiet     and ultegra components ,frame is a little too stiff for total comfort and at the same time acceleration seems a little sluggish and flexy compared to my old steel frame bike  replaced seat straight away this has been a great bike for me for the money  superb ride for the budget restrictions in place  i think this was the last year for this bike then they started cheaping out on the components  i opted to upgrade to a triple crankset and glad i did so ,frame little stiff total comfort time acceleration seems little sluggish flexy compared old steel frame bike replaced seat straight away great bike money superb ride budget restrictions place think last year bike started cheaping components opted upgrade triple crankset glad,True,"{'neg': 0.047, 'neu': 0.657, 'pos': 0.296, 'compound': 0.9174}",0.9174,pos,0.047,0.657,0.296,0.0,0.05263157894736842,0.0,0.15789473684210525,0.05263157894736842,0.21052631578947367,0.10526315789473684,0.05263157894736842,0.0,0.15789473684210525,0.21052631578947367,"['bike', 'frame', 'glad', 'stiff', 'total', 'comfort', 'time', 'acceleration', 'sluggish', 'flexy']",0.657,0.047,0.296
"


 [Aug 02, 2009]




				sdsuaztec89

				Recreational Rider



OVERALLRATING

4


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Stiff aluminum frame, available in 63 cm, is ideal for a tall (6'3"") rider. Bike was excellently fitted for the rider, by the Trek dealer, who special ordered the machine, to fit the rider.


Weakness:
A few of the original parts, such as the bontrager wheels, needed replacing/ upgrading in the first few thousand miles. Triple crank shifts a little bulky at times.


Great value. This bike is versatile and well built. The Alpha Aluminun super light race frame sticks the corners exceptionally well. I bought the bike on a budget. I couldn't then, and cannot today, pony up 3 or 4 grand for a bike. 10,000 miles, and half a dozen centuries later, from Solvang, to the Sea Otter Classic, This bike is road proven.


Similar Products Used:
Cannondale w/ similar setup.



",Trek1500,stiff aluminum frame  available in    cm  is ideal for a tall        rider  bike was excellently fitted for the rider  by the trek dealer  who special ordered the machine  to fit the rider ,a few of the original parts  such as the bontrager wheels  needed replacing  upgrading in the first few thousand miles  triple crank shifts a little bulky at times great value  this bike is versatile and well built  the alpha aluminun super light race frame sticks the corners exceptionally well  i bought the bike on a budget  i couldn t then  and cannot today  pony up   or   grand for a bike         miles  and half a dozen centuries later  from solvang  to the sea otter classic  this bike is road proven similar products used cannondale w  similar setup ,original parts bontrager wheels needed replacing upgrading first thousand miles triple crank shifts little bulky times great value bike versatile well built alpha aluminun super light race frame sticks corners exceptionally well bought bike budget today pony grand bike miles half dozen centuries later solvang sea otter classic bike road proven similar products used cannondale similar setup,True,"{'neg': 0.0, 'neu': 0.718, 'pos': 0.282, 'compound': 0.9561}",0.9561,pos,0.0,0.718,0.282,0.0,0.0,0.0,0.4,0.0,0.4,0.2,0.0,0.0,0.0,,"['bike', 'miles', 'similar', 'original', 'setup', 'parts', 'bontrager', 'wheels', 'needed', 'replacing']",0.718,0.0,0.282
"


 [May 22, 2009]




				Anonymous

				Triathlete



OVERALLRATING

5


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
A lot of bike for the money, very reliable, fast and true.


Weakness:
seat, but replaced it almost immediately with nice Fi'zi:k. Some minor gear slippage if pressured on tough hills.


Great bike and has been fantastic first road bike purchase. I am triathlete but this is my trainig and racing bike. comfortable, light, performs well in every area.


Similar Products Used:
N/A



",Trek1500,a lot of bike for the money  very reliable  fast and true ,seat  but replaced it almost immediately with nice fi zi k  some minor gear slippage if pressured on tough hills great bike and has been fantastic first road bike purchase  i am triathlete but this is my trainig and racing bike  comfortable  light  performs well in every area similar products used n a,seat replaced almost immediately nice minor gear slippage pressured tough hills great bike fantastic first road bike purchase triathlete trainig racing bike comfortable light performs well every area similar products used,True,"{'neg': 0.079, 'neu': 0.558, 'pos': 0.363, 'compound': 0.922}",0.922,pos,0.079,0.558,0.363,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,"['bike', 'seat', 'replaced', 'immediately', 'nice', 'minor', 'gear', 'slippage', 'pressured', 'tough']",0.558,0.079,0.363
"


 [Feb 12, 2009]




				Anonymous

				Recreational Rider



OVERALLRATING

4


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
105 and Ultegra parts Carbon seat post and forkPiant makes it look like a fine sports car


Weakness:
Seat must be replacedTires and rims are lacking compared to the rest of bike


I've got around 4500 miles on her and no problems yet. Also no matter what I throw at her for roads hilly or pancake, it tackles with no lag. A fast road bike on at a shoestring price. A+++ bike


Similar Products Used:
2000 Trek 520 2004 Giant OCR2



",Trek1500,    and ultegra parts carbon seat post and forkpiant makes it look like a fine sports car,seat must be replacedtires and rims are lacking compared to the rest of bikei ve got around      miles on her and no problems yet  also no matter what i throw at her for roads hilly or pancake  it tackles with no lag  a fast road bike on at a shoestring price  a    bikesimilar products used      trek          giant ocr ,seat must replacedtires rims lacking compared rest bikei got around miles problems yet also matter throw roads hilly pancake tackles lag fast road bike shoestring price bikesimilar products used trek giant ocr,True,"{'neg': 0.145, 'neu': 0.824, 'pos': 0.031, 'compound': -0.6124}",-0.6124,neg,0.145,0.824,0.031,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,,"['seat', 'ocr', 'replacedtires', 'rims', 'lacking', 'compared', 'rest', 'bikei', 'miles', 'problems']",0.824,0.145,0.031
"


 [Aug 26, 2008]




				Jon

				Recreational Rider



OVERALLRATING

4


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Stiff frame for out-of-saddle hammering. Light, and just enough performance to feel fast without being extravagant. Great bang for your buck.


Weakness:
Seat.


An awesome bike. As others have said, I also replaced the seat when I first bought it. It makes you want to go fast wherever you go. You can hammer on the pedals with no noticeable frame flexing. When I purchased it, the only other bikes that could compare were over $1200 (without pedals). Sadly I am poor and have to sell it!





",Trek1500,stiff frame for out of saddle hammering  light  and just enough performance to feel fast without being extravagant  great bang for your buck ,seat an awesome bike  as others have said  i also replaced the seat when i first bought it  it makes you want to go fast wherever you go  you can hammer on the pedals with no noticeable frame flexing  when i purchased it  the only other bikes that could compare were over        without pedals   sadly i am poor and have to sell it ,seat awesome bike others said also replaced seat first bought makes want fast wherever hammer pedals noticeable frame flexing purchased bikes could compare without pedals sadly poor sell,True,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.8514}",0.8514,pos,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,,"['sell', 'seat', 'pedals', 'awesome', 'replaced', 'bought', 'makes', 'fast', 'hammer', 'noticeable']",0.7,0.0,0.3
"


 [Aug 11, 2008]




				Anonymous

				Road Racer



OVERALLRATING

5


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Shimano 105 Components, Frame (esp. carbon seatpost and fork), Price


Weakness:
As a mid or entry level bike this has no weaknesses.


A fantastic entry to mid level bike. As someone just getting into roadie races, this bike is more than adequate to start with. Honestly, it can either function as a good training bike or even as a racing bike. Solid group (105), frame, and accessories. To address the previous reviews, the seat just happens to be fine for me since I'm a smaller rider who doesnt need a whole lot from his saddle. Same goes for the wheels, they are plenty tough for me. They have made it through two minor crashes (one with a monster pothole and the other with a tree) and are still true. Nice to have 105 components for such a low price as well.


Similar Products Used:
Tested Specialized Allez and Cannondale Synapse at LBS. A few rides on Giant OCR1.



",Trek1500,shimano     components  frame  esp  carbon seatpost and fork   price,as a mid or entry level bike this has no weaknesses a fantastic entry to mid level bike  as someone just getting into roadie races  this bike is more than adequate to start with  honestly  it can either function as a good training bike or even as a racing bike  solid group        frame  and accessories  to address the previous reviews  the seat just happens to be fine for me since i m a smaller rider who doesnt need a whole lot from his saddle  same goes for the wheels  they are plenty tough for me  they have made it through two minor crashes  one with a monster pothole and the other with a tree  and are still true  nice to have     components for such a low price as well similar products used tested specialized allez and cannondale synapse at lbs  a few rides on giant ocr  ,mid entry level bike weaknesses fantastic entry mid level bike someone getting roadie races bike adequate start honestly either function good training bike even racing bike solid group frame accessories address previous reviews seat happens fine since smaller rider doesnt need whole lot saddle goes wheels plenty tough made two minor crashes one monster pothole tree still true nice components low price well similar products used tested specialized allez cannondale synapse lbs rides giant ocr,True,"{'neg': 0.067, 'neu': 0.688, 'pos': 0.246, 'compound': 0.9371}",0.9371,pos,0.067,0.688,0.246,0.07407407407407407,0.037037037037037035,0.0,0.18518518518518517,0.07407407407407407,0.25925925925925924,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.1111111111111111,"['bike', 'level', 'mid', 'entry', 'ocr', 'weaknesses', 'fantastic', 'roadie', 'races', 'adequate']",0.688,0.067,0.246
"


 [Jul 28, 2008]




				Anonymous

				Recreational Rider



OVERALLRATING

5


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Shimano 105/Ultegra setup is great. I was extremely surprised with the strength of the stock wheel set.


Weakness:
I replaced the stock saddle and tires almost right away. Although the stock saddle was beaten up by many other reviewers, I actually didn't think it was too terribly bad. I did however end up replacing it with the more comfortable Brooks.


I'm a 52 year old recreational rider who rides for fitness. I'm 6'4 and have ridden at weights all the way up to 255 at my heaviest. I was initially worried about the wheels with their low spoke counts and their ability to remain true while supporting my weight, but the Trek factory assured me the wheels could handle it. Although I don't beat the bike, I do ride long, rolling country roads that have their share of pot holes and uneven pavement. After 2 years and about 2000 road miles with alot more on the trainer, the wheels are still straight and true. I have had no cracking around spoke holes as some reviews have reported. I love this bike. The Shimano 105/Ultegra setup provides effortless, quiet, accurate shifting and the triple crank and 12/25 cassette makes hauling my well-fed self up hills relatively easy. Every morning I still look forward to riding this well designed rocket. For the money, this bike can't be beat.


Similar Products Used:
1980's vintage Schwinn World Sport



",Trek1500,shimano     ultegra setup is great  i was extremely surprised with the strength of the stock wheel set ,i replaced the stock saddle and tires almost right away  although the stock saddle was beaten up by many other reviewers  i actually didn t think it was too terribly bad  i did however end up replacing it with the more comfortable brooks i m a    year old recreational rider who rides for fitness  i m     and have ridden at weights all the way up to     at my heaviest  i was initially worried about the wheels with their low spoke counts and their ability to remain true while supporting my weight  but the trek factory assured me the wheels could handle it  although i don t beat the bike  i do ride long  rolling country roads that have their share of pot holes and uneven pavement  after   years and about      road miles with alot more on the trainer  the wheels are still straight and true  i have had no cracking around spoke holes as some reviews have reported  i love this bike  the shimano     ultegra setup provides effortless  quiet  accurate shifting and the triple crank and       cassette makes hauling my well fed self up hills relatively easy  every morning i still look forward to riding this well designed rocket  for the money  this bike can t be beat similar products used      s vintage schwinn world sport,replaced stock saddle tires almost right away although stock saddle beaten many reviewers actually think terribly bad however end replacing comfortable brooks year old recreational rider rides fitness ridden weights way heaviest initially worried wheels low spoke counts ability remain true supporting weight trek factory assured wheels could handle although beat bike ride long rolling country roads share pot holes uneven pavement years road miles alot trainer wheels still straight true cracking around spoke holes reviews reported love bike shimano ultegra setup provides effortless quiet accurate shifting triple crank cassette makes hauling well fed self hills relatively easy every morning still look forward riding well designed rocket money bike beat similar products used vintage schwinn world sport,True,"{'neg': 0.096, 'neu': 0.672, 'pos': 0.232, 'compound': 0.9509}",0.9509,pos,0.096,0.672,0.232,0.034482758620689655,0.05172413793103448,0.0,0.1724137931034483,0.034482758620689655,0.2413793103448276,0.13793103448275862,0.08620689655172414,0.034482758620689655,0.1206896551724138,0.08620689655172414,"['stock', 'saddle', 'wheels', 'bike', 'spoke', 'true', 'beat', 'holes', 'replaced', 'sport']",0.672,0.096,0.232
"


 [Jul 02, 2008]




				soxfan

				Recreational Rider




OVERALLRATING

5


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
Fast, responsive, and comfortable. I have found it to be very stable even at high speeds(40-50mph).


Weakness:
I did find a more comfortable saddle and change to clips.


I'm 46 years old. This is my first road bike after riding a cruiser bike for two years after I quit running. I couldn't be happier with the 1500. In the 1+ year I've ridden it I've turned 6,500 miles, increased my avg. speed from 14mph to almost 18mph, lost 20 lbs, and competed in 4 centuries. I've had some people tell me it's a nice starter bike until I can buy a carbon but I'm not so sure I agree. The 1500 hasn't shown a limit to it's performance. I love it.





",Trek1500,fast  responsive  and comfortable  i have found it to be very stable even at high speeds      mph  ,i did find a more comfortable saddle and change to clips i m    years old  this is my first road bike after riding a cruiser bike for two years after i quit running  i couldn t be happier with the       in the    year i ve ridden it i ve turned       miles  increased my avg  speed from   mph to almost   mph  lost    lbs  and competed in   centuries  i ve had some people tell me it s a nice starter bike until i can buy a carbon but i m not so sure i agree  the      hasn t shown a limit to it s performance  i love it ,find comfortable saddle change clips years old first road bike riding cruiser bike two years quit running happier year ridden turned miles increased avg speed mph almost mph lost lbs competed centuries people tell nice starter bike buy carbon sure agree shown limit performance love,True,"{'neg': 0.034, 'neu': 0.621, 'pos': 0.346, 'compound': 0.9557}",0.9557,pos,0.034,0.621,0.346,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,,"['bike', 'mph', 'find', 'love', 'years', 'comfortable', 'saddle', 'change', 'clips', 'road']",0.621,0.034,0.346
"


 [Jun 20, 2008]




				Anonymous

				Recreational Rider




OVERALLRATING

5


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
105 Drivechain with an Ultegra crankset.


Weakness:
Only the disposable items: saddle, pedals, tires (though the tires are suprisingly good for stock tires and particularly for Bontrager).


I looked at options for months, did bids on eBay, asked the experts and all, and my conclusion is that if you already have a mountain bike there's no use buying a cyclocross bike to go roadie on. You just don't need it. Get a road bike, and I recommend this one very highly for anyone else who wants to add to their cycling repetoire. This bike can take on the kinds of rough road conditions we have in New York City, no problem, and serves up a nice balance between agile and stable so you can tackle tough, short rides or use it to tour or century on. The carbon fork and post are enough to dampen a rough ride to a degree that's comparable with a cro-moly frame--the ultimate in comfort next to carbon. It makes me wonder why roadies are so squeemish about all but smooth, highway grade road, but maybe this bike is exceptionally stable. Really rough stuff at high speed is something to be cautious of on this bike, but for the most part you shouldn't have a problem. I also have had no problems with the bike occilating at high speed despite being ""a big guy"" which a lot of bikes of this quality are prone to do with heavy riders. I'm not a clydesdale, but I'm not 160 lbs either(note that George Hincapie is 180 lbs, so no worries if you're topping 200 or and change unless you're really up there at 275 and not planning to drop 50 anytime soon). As far as riding this versus the mountain bike, the only real adjustments I've had to make are: no Camelbak (leaned too far over, and it's just ""un-roadie-like""); I loosened the stem and tilted the handlebar up so I could more comfortably ride with my hands on the hoods and effectively work the brakes; and of course I changed the saddle height and angle to preference. The difference in braking is the only significant adjustment. After the first long ride I could barely use my hands anymore because I was squeezing the brakes in a way that I don't have to on the mountain bike. Even a couple of months later, I'm still developing those braking muscles, but at least I can use the brakes now after several hours of riding. You might want to ease into road riding just for that reason alone. And of course it's a hell of a lot faster and easier to go than a mountain bike. The mountain bike simply doesn't move by comparison. At some point I actually felt the road bike was too easy, like I barely had to pedal, but then I just changed where and how I ride. If I were touring, this would be a breeze to ride in comparison to the tougher work on the mountain bike, and no less comfortable as far as I'm concerned.


Similar Products Used:
This is my first true road bike. I have a Trek 8000 mountain bike as well. It's nice having both.



",Trek1500,    drivechain with an ultegra crankset ,only the disposable items  saddle  pedals  tires  though the tires are suprisingly good for stock tires and particularly for bontrager  i looked at options for months  did bids on ebay  asked the experts and all  and my conclusion is that if you already have a mountain bike there s no use buying a cyclocross bike to go roadie on  you just don t need it  get a road bike  and i recommend this one very highly for anyone else who wants to add to their cycling repetoire  this bike can take on the kinds of rough road conditions we have in new york city  no problem  and serves up a nice balance between agile and stable so you can tackle tough  short rides or use it to tour or century on  the carbon fork and post are enough to dampen a rough ride to a degree that s comparable with a cro moly frame  the ultimate in comfort next to carbon  it makes me wonder why roadies are so squeemish about all but smooth  highway grade road  but maybe this bike is exceptionally stable  really rough stuff at high speed is something to be cautious of on this bike  but for the most part you shouldn t have a problem  i also have had no problems with the bike occilating at high speed despite being  a big guy  which a lot of bikes of this quality are prone to do with heavy riders  i m not a clydesdale  but i m not     lbs either note that george hincapie is     lbs  so no worries if you re topping     or and change unless you re really up there at     and not planning to drop    anytime soon   as far as riding this versus the mountain bike  the only real adjustments i ve had to make are  no camelbak  leaned too far over  and it s just  un roadie like    i loosened the stem and tilted the handlebar up so i could more comfortably ride with my hands on the hoods and effectively work the brakes  and of course i changed the saddle height and angle to preference  the difference in braking is the only significant adjustment  after the first long ride i could barely use my hands anymore because i was squeezing the brakes in a way that i don t have to on the mountain bike  even a couple of months later  i m still developing those braking muscles  but at least i can use the brakes now after several hours of riding  you might want to ease into road riding just for that reason alone  and of course it s a hell of a lot faster and easier to go than a mountain bike  the mountain bike simply doesn t move by comparison  at some point i actually felt the road bike was too easy  like i barely had to pedal  but then i just changed where and how i ride  if i were touring  this would be a breeze to ride in comparison to the tougher work on the mountain bike  and no less comfortable as far as i m concerned similar products used this is my first true road bike  i have a trek      mountain bike as well  it s nice having both ,disposable items saddle pedals tires though tires suprisingly good stock tires particularly bontrager looked options months bids ebay asked experts conclusion already mountain bike use buying cyclocross bike roadie need get road bike recommend one highly anyone else wants add cycling repetoire bike take kinds rough road conditions new york city problem serves nice balance agile stable tackle tough short rides use tour century carbon fork post enough dampen rough ride degree comparable cro moly frame ultimate comfort next carbon makes wonder roadies squeemish smooth highway grade road maybe bike exceptionally stable really rough stuff high speed something cautious bike part problem also problems bike occilating high speed despite big guy lot bikes quality prone heavy riders clydesdale lbs either note george hincapie lbs worries topping change unless really planning drop anytime soon far riding versus mountain bike real adjustments make camelbak leaned far roadie like loosened stem tilted handlebar could comfortably ride hands hoods effectively work brakes course changed saddle height angle preference difference braking significant adjustment first long ride could barely use hands anymore squeezing brakes way mountain bike even couple months later still developing braking muscles least use brakes several hours riding might want ease road riding reason alone course hell lot faster easier mountain bike mountain bike simply move comparison point actually felt road bike easy like barely pedal changed ride touring would breeze ride comparison tougher work mountain bike less comfortable far concerned similar products used first true road bike trek mountain bike well nice,True,"{'neg': 0.078, 'neu': 0.754, 'pos': 0.169, 'compound': 0.971}",0.971,pos,0.078,0.754,0.169,0.0967741935483871,0.04838709677419355,0.0,0.14516129032258066,0.03225806451612903,0.22580645161290322,0.08064516129032258,0.0967741935483871,0.016129032258064516,0.04838709677419355,0.20967741935483872,"['bike', 'mountain', 'road', 'ride', 'tires', 'rough', 'riding', 'brakes', 'high', 'speed']",0.754,0.078,0.169
"


 [May 18, 2008]




[email protected]

				Recreational Rider



OVERALLRATING

5


★★★★★
★★★★★









VALUERATING
5


★★★★★
★★★★★






Strength:
PriceGood componentsOnly minor upgrades needed


Weakness:
None for me (tires but that's expected)


OK, I've waited a long time to do my review. I bought the bike last August at a year end clearance to replace my 20 year old Univega. I weighed 215 lbs. on a 5'11"" frame and am 53 yrs. old. My son got me back into cycling and I needed to lose some weight and get in shape. Started out doing 5 to 6 miles loops 3 to 4 days per week. Am now doing 125 to 200 miles per week and do hills almost every day. I'm down to 178 lbs. I've put 3,850 miles on the bike. Yesterday I rode my first organized ride. It was an 80 mile ride with two large climbs in the first 20 miles and temperatures in the 90's. I passed many $3,000 to $4,000 carbon bikes along the way, especially on the hills. My buddy is right, it's the engine not the bike. This bike has done everything I hoped and more. Came with 105 shifters and fr, Ultegra crank and rd. Have had a couple of minor adjustments and one tuneup (I've learned to do most of the routine things myself). I did add Keo pedals and am on my second set of Ultra Gatorskins. I've kept the original seat and have never had a sore butt (maybe I'm lucky but why fix something that's not broken). This has been the best $899 I've ever spent


Similar Products Used:
Old Univega steel 12 speed



",Trek1500,pricegood componentsonly minor upgrades needed,none for me  tires but that s expected ok  i ve waited a long time to do my review  i bought the bike last august at a year end clearance to replace my    year old univega  i weighed     lbs  on a       frame and am    yrs  old  my son got me back into cycling and i needed to lose some weight and get in shape  started out doing   to   miles loops   to   days per week  am now doing     to     miles per week and do hills almost every day  i m down to     lbs  i ve put       miles on the bike  yesterday i rode my first organized ride  it was an    mile ride with two large climbs in the first    miles and temperatures in the    s  i passed many        to        carbon bikes along the way  especially on the hills  my buddy is right  it s the engine not the bike  this bike has done everything i hoped and more  came with     shifters and fr  ultegra crank and rd  have had a couple of minor adjustments and one tuneup  i ve learned to do most of the routine things myself   i did add keo pedals and am on my second set of ultra gatorskins  i ve kept the original seat and have never had a sore butt  maybe i m lucky but why fix something that s not broken   this has been the best      i ve ever spentsimilar products used old univega steel    speed,none tires expected waited long time review bought bike last august year end clearance replace year old univega weighed lbs frame yrs old son got back cycling needed lose weight get shape started miles loops days per week miles per week hills almost every day lbs put miles bike yesterday rode first organized ride mile ride two large climbs first miles temperatures passed many carbon bikes along way especially hills buddy right engine bike bike done everything hoped came shifters ultegra crank couple minor adjustments one tuneup learned routine things add keo pedals second set ultra gatorskins kept original seat never sore butt maybe lucky fix something broken best ever spentsimilar products used old univega steel speed,True,"{'neg': 0.045, 'neu': 0.847, 'pos': 0.108, 'compound': 0.8025}",0.8025,pos,0.045,0.847,0.108,0.07317073170731707,0.07317073170731707,0.0,0.0975609756097561,0.07317073170731707,0.1951219512195122,0.14634146341463414,0.0975609756097561,0.04878048780487805,0.07317073170731707,0.12195121951219512,"['bike', 'miles', 'univega', 'week', 'year', 'lbs', 'hills', 'ride', 'speed', 'tires']",0.847,0.045,0.108
